#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b5d41a225f4f_A1_KAPITEL_4_Audio_100_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat héiert Dir?<br>- Wou héiert Dir dat?<br>- Mächt proposen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- O que você ouve?<br>- De onde você ouve isso?<br>- Pode propor.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat héiert Dir?<br>- Wou héiert Dir dat?<br>- Mächt proposen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b5d41a225f4f_A1_KAPITEL_4_Audio_100_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- O que você ouve?<br>- De onde você ouve isso?<br>- Pode propor.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_867bfef74215_A1_KAPITEL_4_Audio_100_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Zwee.<br>- Dräij.<br>- Fia.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Zwei.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Zwee.<br>- Dräij.<br>- Fia.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_867bfef74215_A1_KAPITEL_4_Audio_100_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Zwei.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_29fdce510ed0_A1_KAPITEL_4_Audio_100_003.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef<br>- Zex<br>- Zex</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Cinco<br>- Seis<br>- Seis</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef<br>- Zex<br>- Zex</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_29fdce510ed0_A1_KAPITEL_4_Audio_100_003.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Cinco<br>- Seis<br>- Seis</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_7141ecb87c44_A1_KAPITEL_4_Audio_101_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lëscht weider:<br>- Lëscht déi véier Texter.<br>- Wat maachen d&#x27;Leit?<br>- Notéiert zwieleen een bis véier bei d&#x27;Aktivitéiten.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Liste novamente:<br>- Liste os quatro textos.<br>- O que as pessoas fazem?<br>- Anote duas&#44; uma ou quatro nas atividades.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lëscht weider:<br>- Lëscht déi véier Texter.<br>- Wat maachen d&#x27;Leit?<br>- Notéiert zwieleen een bis véier bei d&#x27;Aktivitéiten.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_7141ecb87c44_A1_KAPITEL_4_Audio_101_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Liste novamente:<br>- Liste os quatro textos.<br>- O que as pessoas fazem?<br>- Anote duas&#44; uma ou quatro nas atividades.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_da37c0ce8d16_A1_KAPITEL_4_Audio_101_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ent. Verschreint Viederast gi mir gäre spatzeieren&#44;<br>- fir un allem an dem Müllerdal oder opt Mosel.<br>- Am Müllerdal ginn et vill flott Spazeierweeër<br>- an ob der Mosel kënne mir Weif maachen oder mam Schëff fueren.<br>- Mäi Mann lauscht dat gäre klassesch Musik.<br>- Mir hunn en Abonnement fir d&#x27;Philharmonie<br>- a ginn op mannst zweemol de Mount e Konzert lauschteren.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Por favor&#44; ande alguns passos para passear devagarmente&#44;<br>- para tudo no Müllerdal ou na Mosel.<br>- No Müllerdal há muitos lugares para passear legalmente<br>- e ao longo da Mosel podemos fazer vinho ou viajar de barco.<br>- Meu marido ouve música clássica com gosto.<br>- Temos uma assinatura para a Philharmonie<br>- e vamos ouvir um concerto pelo menos duas vezes por mês.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ent. Verschreint Viederast gi mir gäre spatzeieren&#44;<br>- fir un allem an dem Müllerdal oder opt Mosel.<br>- Am Müllerdal ginn et vill flott Spazeierweeër<br>- an ob der Mosel kënne mir Weif maachen oder mam Schëff fueren.<br>- Mäi Mann lauscht dat gäre klassesch Musik.<br>- Mir hunn en Abonnement fir d&#x27;Philharmonie<br>- a ginn op mannst zweemol de Mount e Konzert lauschteren.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_da37c0ce8d16_A1_KAPITEL_4_Audio_101_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Por favor&#44; ande alguns passos para passear devagarmente&#44;<br>- para tudo no Müllerdal ou na Mosel.<br>- No Müllerdal há muitos lugares para passear legalmente<br>- e ao longo da Mosel podemos fazer vinho ou viajar de barco.<br>- Meu marido ouve música clássica com gosto.<br>- Temos uma assinatura para a Philharmonie<br>- e vamos ouvir um concerto pelo menos duas vezes por mês.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_9efd138b6e1e_A1_KAPITEL_4_Audio_102_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mat de Scouten maache mir vill interessant Aktivitéiten:<br>- Mir grillen a campéieren dobaussen&#44;<br>- mir sangen vill a mir spille Theater.<br>- Heiansdo maache mir och en Ausfluch&#44; zum Beispill op Feierenen oder op Esch-Sauer.<br>- Freides no der Schoul gi mir oft an de Kino.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Com os escoteiros fazemos muitas atividades interessantes:<br>- Fazemos churrasco e acampamos ao ar livre&#44;<br>- cantamos muito e fazemos teatro.<br>- Às vezes também fazemos uma viagem&#44; por exemplo para festas ou para Esch-Sauer.<br>- Sexta-feira depois da escola vamos muitas vezes ao cinema.</div></div>
