#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_09f0a21e014d_B1_KAPITEL_1_B1_AUDIO_01_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Löscht hat wat Leit ze woen!<br>- Schreift Nummer vun den Haiser bei déi richteg Foto.<br>- Eent<br>- Wéi flott&#44; dass mir mol enge Kéier all zesumme bei der Foto sinn&#44; mëm Méidenscher&#44; mëm Mann&#44; mëm Boumi an ech!<br>- Zwee<br>- Méi Gratulärer ganz häerzlech witt geboot vun erem klänge Meitschen!<br>- Dräi<br>- Du hues jo schonn e richte stéck Bauch!<br>- Wéi weni ass et dann?<br>- Feier<br>- Kuck&#44; wat wär ech sou leif&#44; wie ich klang war&#44; dat heiwäre am richte Schouljohr.<br>- Erkennst du mich?<br>- Ech sinn den an da mett&#44; mam hellblauen T-Shirt.<br>- Fünnef<br>- Esch geet ganz gäerne mëm Boupi an de Pork.<br>- Die Läsche kammen usich verblosegemä.<br>- Dat wär flott.<br>- Sex<br>- Mëng Frënn kommen aus ville verschidneren Anna&#44; dat fonnt ech flott.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Existem pessoas que gostam de morar!<br>- Escreva o número das casas na foto correta.<br>- Um<br>- Que legal que às vezes estamos todos na foto juntos&#44; minha gente&#44; meu marido e eu!<br>- Dois<br>- Muitas felicitações de coração para essa menina bonita!<br>- Três<br>- Você já tem uma barriga bem grande!<br>- Quantos são então?<br>- Fogo<br>- Olha&#44; eu seria tão gentil&#44; como eu parecia&#44; aquela era a escola certa no ano certo.<br>- Você me reconhece?<br>- Eu sou o que está lá em cima&#44; com a camiseta azul-clara.<br>- Cinco<br>- Eu gosto de ir com o Boo ao porco.<br>- A pesca saiu sem volta.<br>- Isso seria legal.<br>- Sexo<br>- Meus amigos vêm de várias Ana&#44; achei isso legal.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Löscht hat wat Leit ze woen!<br>- Schreift Nummer vun den Haiser bei déi richteg Foto.<br>- Eent<br>- Wéi flott&#44; dass mir mol enge Kéier all zesumme bei der Foto sinn&#44; mëm Méidenscher&#44; mëm Mann&#44; mëm Boumi an ech!<br>- Zwee<br>- Méi Gratulärer ganz häerzlech witt geboot vun erem klänge Meitschen!<br>- Dräi<br>- Du hues jo schonn e richte stéck Bauch!<br>- Wéi weni ass et dann?<br>- Feier<br>- Kuck&#44; wat wär ech sou leif&#44; wie ich klang war&#44; dat heiwäre am richte Schouljohr.<br>- Erkennst du mich?<br>- Ech sinn den an da mett&#44; mam hellblauen T-Shirt.<br>- Fünnef<br>- Esch geet ganz gäerne mëm Boupi an de Pork.<br>- Die Läsche kammen usich verblosegemä.<br>- Dat wär flott.<br>- Sex<br>- Mëng Frënn kommen aus ville verschidneren Anna&#44; dat fonnt ech flott.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_09f0a21e014d_B1_KAPITEL_1_B1_AUDIO_01_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Existem pessoas que gostam de morar!<br>- Escreva o número das casas na foto correta.<br>- Um<br>- Que legal que às vezes estamos todos na foto juntos&#44; minha gente&#44; meu marido e eu!<br>- Dois<br>- Muitas felicitações de coração para essa menina bonita!<br>- Três<br>- Você já tem uma barriga bem grande!<br>- Quantos são então?<br>- Fogo<br>- Olha&#44; eu seria tão gentil&#44; como eu parecia&#44; aquela era a escola certa no ano certo.<br>- Você me reconhece?<br>- Eu sou o que está lá em cima&#44; com a camiseta azul-clara.<br>- Cinco<br>- Eu gosto de ir com o Boo ao porco.<br>- A pesca saiu sem volta.<br>- Isso seria legal.<br>- Sexo<br>- Meus amigos vêm de várias Ana&#44; achei isso legal.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f66ff1164380_B1_KAPITEL_1_B1_AUDIO_02_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Liest Aläu Stotem ammelisen Geschicht.<br>- Ech sinn 1962 zu Zeissingen op d&#x27;Welt komm.<br>- Ech sinn och do an d&#x27; Schoul gaangen.<br>- Mat 20 Joer sinn ech selwer Léierin an der Zeissinger Primärschoul ginn.<br>- Ech wollt joeng Gesellin bleiwen&#44; mee du hunn ech de Fernokäne geléiert an ech hunn mech verléift.<br>- Wéi ech 25 Joer hat&#44; hu mir eis bestuet an ech hunn opgehalen mat schaffen.<br>- Mir sinn op Bettelbréck geplënnert an ee Joer méi spéit hu mir eis éischt Kand kritt&#44; d&#x27;Leonie.<br>- Dat war eng ganz flott Zäite&#44; do hu mir och eisen éischten Auto kaaft.<br>- Dat war 1961&#44; wann ech mech richteg erënneren.<br>- 1992&#44; also wéi ech 30 Joer hat&#44; koum eis zweet Kand&#44; de François&#44; op d&#x27;Welt.<br>- Zéng Joer méi spéit hu mir eis éischt Rees mam Fliger gemaach.<br>- Mir sinn a Spuenje geflunn&#44; dat war eng richteg Avantür.<br>- Du no hu mir nach méi dacks am Fliger&#44; dat ass ee Joer eng Normalitéit ginn.<br>- Wéi ech 50 Joer hat&#44; verend konn a scho grouss an ech hat nëmmen vill Zäite.<br>- Ech hunn du ugefaangen&#44; Nohilfskore fir Kanner ze ginn.<br>- Elo fille ech mech awer ze al dofir an ech genéissen d&#x27;Pensioun zesumme mat mengem Mann.<br>- Mir reese nare ma géer an nächst Joer wëlle mir d&#x27;Leonie besiche fueren.<br>- Hat wunnt de loo mat sengem Mann an Amerika zu Boston.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Leio a história de Aläu Stotem com atenção.<br>- Eu nasci em Zeießen em 1962.<br>- Também fui à escola lá.<br>- Aos 20 anos tornei-me professora na escola primária de Zeissinger.<br>- Eu queixava-me de permanecer jovem como colega&#44; mas você me ensinou Fernokäne e eu me apaixonei.<br>- Quando tinha 25 anos&#44; casamos e parei de trabalhar.<br>- Mudamos para Bettelbréck e um ano depois tivemos nosso primeiro filho&#44; Leonie.<br>- Foram tempos muito bons&#44; também compramos nosso primeiro carro.<br>- Foi 1961&#44; se eu me lembro bem.<br>- Em 1992&#44; então quando eu tinha 30 anos&#44; nasceu nosso segundo filho&#44; François.<br>- Dez anos depois fizemos nossa primeira viagem de avião.<br>- Voamos para a Espanha&#44; foi uma verdadeira aventura.<br>- Depois disso voávamos ainda com mais frequência&#44; tornou-se normal em um ano.<br>- Quando eu tinha 50 anos&#44; fiquei doente e já idoso&#44; e eu tinha muito pouco tempo.<br>- Comecei a fazer nohlfskore para crianças.<br>- Agora me sinto velho demais para isso e aproveito a aposentadoria junto com meu marido.<br>- Planejamos viajar novamente este ano e no próximo vamos visitar Leonie.<br>- Morou na casa com seu marido na América em Boston.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Liest Aläu Stotem ammelisen Geschicht.<br>- Ech sinn 1962 zu Zeissingen op d&#x27;Welt komm.<br>- Ech sinn och do an d&#x27; Schoul gaangen.<br>- Mat 20 Joer sinn ech selwer Léierin an der Zeissinger Primärschoul ginn.<br>- Ech wollt joeng Gesellin bleiwen&#44; mee du hunn ech de Fernokäne geléiert an ech hunn mech verléift.<br>- Wéi ech 25 Joer hat&#44; hu mir eis bestuet an ech hunn opgehalen mat schaffen.<br>- Mir sinn op Bettelbréck geplënnert an ee Joer méi spéit hu mir eis éischt Kand kritt&#44; d&#x27;Leonie.<br>- Dat war eng ganz flott Zäite&#44; do hu mir och eisen éischten Auto kaaft.<br>- Dat war 1961&#44; wann ech mech richteg erënneren.<br>- 1992&#44; also wéi ech 30 Joer hat&#44; koum eis zweet Kand&#44; de François&#44; op d&#x27;Welt.<br>- Zéng Joer méi spéit hu mir eis éischt Rees mam Fliger gemaach.<br>- Mir sinn a Spuenje geflunn&#44; dat war eng richteg Avantür.<br>- Du no hu mir nach méi dacks am Fliger&#44; dat ass ee Joer eng Normalitéit ginn.<br>- Wéi ech 50 Joer hat&#44; verend konn a scho grouss an ech hat nëmmen vill Zäite.<br>- Ech hunn du ugefaangen&#44; Nohilfskore fir Kanner ze ginn.<br>- Elo fille ech mech awer ze al dofir an ech genéissen d&#x27;Pensioun zesumme mat mengem Mann.<br>- Mir reese nare ma géer an nächst Joer wëlle mir d&#x27;Leonie besiche fueren.<br>- Hat wunnt de loo mat sengem Mann an Amerika zu Boston.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f66ff1164380_B1_KAPITEL_1_B1_AUDIO_02_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Leio a história de Aläu Stotem com atenção.<br>- Eu nasci em Zeießen em 1962.<br>- Também fui à escola lá.<br>- Aos 20 anos tornei-me professora na escola primária de Zeissinger.<br>- Eu queixava-me de permanecer jovem como colega&#44; mas você me ensinou Fernokäne e eu me apaixonei.<br>- Quando tinha 25 anos&#44; casamos e parei de trabalhar.<br>- Mudamos para Bettelbréck e um ano depois tivemos nosso primeiro filho&#44; Leonie.<br>- Foram tempos muito bons&#44; também compramos nosso primeiro carro.<br>- Foi 1961&#44; se eu me lembro bem.<br>- Em 1992&#44; então quando eu tinha 30 anos&#44; nasceu nosso segundo filho&#44; François.<br>- Dez anos depois fizemos nossa primeira viagem de avião.<br>- Voamos para a Espanha&#44; foi uma verdadeira aventura.<br>- Depois disso voávamos ainda com mais frequência&#44; tornou-se normal em um ano.<br>- Quando eu tinha 50 anos&#44; fiquei doente e já idoso&#44; e eu tinha muito pouco tempo.<br>- Comecei a fazer nohlfskore para crianças.<br>- Agora me sinto velho demais para isso e aproveito a aposentadoria junto com meu marido.<br>- Planejamos viajar novamente este ano e no próximo vamos visitar Leonie.<br>- Morou na casa com seu marido na América em Boston.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_310ec9395337_B1_KAPITEL_1_B1_AUDIO_03_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn op Lëtzebuerg komm&#44; well a menger Land Krich war.<br>- Méi Heier hunn ech mech awer och gutt wulle gefillt.<br>- Ech hunn Leit net verstanen&#44; geschwätze mir scho lang&#44;<br>- an et war och ze kal Heier.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu sou vindo de Luxemburgo&#44; porque na minha terra houve guerra.<br>- Mais bandeiras me deram aquele sentimento bom.<br>- Não consegui entender as pessoas&#44; falamos há muito tempo&#44;<br>- e também estava muito frio.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn op Lëtzebuerg komm&#44; well a menger Land Krich war.<br>- Méi Heier hunn ech mech awer och gutt wulle gefillt.<br>- Ech hunn Leit net verstanen&#44; geschwätze mir scho lang&#44;<br>- an et war och ze kal Heier.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_310ec9395337_B1_KAPITEL_1_B1_AUDIO_03_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu sou vindo de Luxemburgo&#44; porque na minha terra houve guerra.<br>- Mais bandeiras me deram aquele sentimento bom.<br>- Não consegui entender as pessoas&#44; falamos há muito tempo&#44;<br>- e também estava muito frio.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a69d6a5c3562_B1_KAPITEL_1_B1_AUDIO_04_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Firwat sidd Dir op Lëtzebuerg komm?<br>- Ech sinn op Lëtzebuerg komm&#44; well meng Fra hei eng Aarbecht kritt huet.<br>- Wéi huet Iech Lëtzebuerg gefall?<br>- Mir huet et direkt immens gutt gefall. Kleng&#44; mee ganz villseiteg.<br>- Hutt Dir Iech séier ageliewt?<br>- Ech hunn mech och ganz séier ageliewt a vill Leit kennegeléiert.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Por que vocês vieram para Luxemburgo?<br>- Eu vim para Luxemburgo porque minha esposa conseguiu um emprego aqui.<br>- Como você gostou de Luxemburgo?<br>- Eu gostei imediatamente imensamente. Pequeno&#44; mas muito agradável.<br>- Você se acomodou rápido?<br>- Eu também me acomodei bem rápido e conheci muitas pessoas.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Firwat sidd Dir op Lëtzebuerg komm?<br>- Ech sinn op Lëtzebuerg komm&#44; well meng Fra hei eng Aarbecht kritt huet.<br>- Wéi huet Iech Lëtzebuerg gefall?<br>- Mir huet et direkt immens gutt gefall. Kleng&#44; mee ganz villseiteg.<br>- Hutt Dir Iech séier ageliewt?<br>- Ech hunn mech och ganz séier ageliewt a vill Leit kennegeléiert.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a69d6a5c3562_B1_KAPITEL_1_B1_AUDIO_04_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Por que vocês vieram para Luxemburgo?<br>- Eu vim para Luxemburgo porque minha esposa conseguiu um emprego aqui.<br>- Como você gostou de Luxemburgo?<br>- Eu gostei imediatamente imensamente. Pequeno&#44; mas muito agradável.<br>- Você se acomodou rápido?<br>- Eu também me acomodei bem rápido e conheci muitas pessoas.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_165655b35749_B1_KAPITEL_1_B1_AUDIO_05_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wollt am Fong an Däitschland studéiere goen&#44;<br>- mee do gouf de Schéng Studiplatz.<br>- Ech war immens enttäuscht.<br>- Ech hat mech och op der Uni Lëtzebuerg ugemellt&#44;<br>- mee zu Lëtzebuerg gouf net komm.<br>- Ech war vun der Welt faszinéiert&#44;<br>- vun der Multikulturalitéit hei.<br>- An elo sinn ech frou&#44;<br>- dass ech hei sinn.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu queria ir estudar na Alemanha desde o começo&#44;<br>- mas apareceu uma bolsa de estudo excelente.<br>- Fiquei extremamente desapontado.<br>- Também me matriculei na Uni de Luxemburgo&#44;<br>- mas em Luxemburgo não compareci.<br>- Fiquei fascinado pelo mundo&#44;<br>- pela multiculturalidade aqui.<br>- E agora estou feliz&#44;<br>- por estar aqui.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wollt am Fong an Däitschland studéiere goen&#44;<br>- mee do gouf de Schéng Studiplatz.<br>- Ech war immens enttäuscht.<br>- Ech hat mech och op der Uni Lëtzebuerg ugemellt&#44;<br>- mee zu Lëtzebuerg gouf net komm.<br>- Ech war vun der Welt faszinéiert&#44;<br>- vun der Multikulturalitéit hei.<br>- An elo sinn ech frou&#44;<br>- dass ech hei sinn.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_165655b35749_B1_KAPITEL_1_B1_AUDIO_05_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu queria ir estudar na Alemanha desde o começo&#44;<br>- mas apareceu uma bolsa de estudo excelente.<br>- Fiquei extremamente desapontado.<br>- Também me matriculei na Uni de Luxemburgo&#44;<br>- mas em Luxemburgo não compareci.<br>- Fiquei fascinado pelo mundo&#44;<br>- pela multiculturalidade aqui.<br>- E agora estou feliz&#44;<br>- por estar aqui.</div></div>
