#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_db3997607640_A1_KAPITEL_6_Audio_134_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuck Biltz&#44; an der Stad.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look Blitz&#44; in der Stad.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuck Biltz&#44; an der Stad.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_db3997607640_A1_KAPITEL_6_Audio_134_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look Blitz&#44; in der Stad.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e4c933a8687c_A1_KAPITEL_6_Audio_134_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Vill Gléck fir de Gebuertsdag&#44; vill Gléck&#44; vill Gléck&#44; vill Gléck.<br>- Prost!<br>- Vill Gléck fir de Gebuertsdag&#44; mäi Jong.<br>- Alles Guddes fir deng véierzeg Joer&#44; Charle.<br>- Ech wënschen dir och alles Guddes.<br>- Merci.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Good luck for your birthday&#44; good luck&#44; good luck&#44; good luck.<br>- Cheers!<br>- Good luck for your birthday&#44; my son.<br>- Best wishes for your forty years&#44; Charle.<br>- I wish you also all the best.<br>- Thank you.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Vill Gléck fir de Gebuertsdag&#44; vill Gléck&#44; vill Gléck&#44; vill Gléck.<br>- Prost!<br>- Vill Gléck fir de Gebuertsdag&#44; mäi Jong.<br>- Alles Guddes fir deng véierzeg Joer&#44; Charle.<br>- Ech wënschen dir och alles Guddes.<br>- Merci.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e4c933a8687c_A1_KAPITEL_6_Audio_134_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Good luck for your birthday&#44; good luck&#44; good luck&#44; good luck.<br>- Cheers!<br>- Good luck for your birthday&#44; my son.<br>- Best wishes for your forty years&#44; Charle.<br>- I wish you also all the best.<br>- Thank you.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_3a8f29f30d3f_A1_KAPITEL_6_Audio_135_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauscht dat erlésten Dialog.<br>- So&#44; kannst du dem Scharel seng Famil?<br>- Sinn dat seng Alteren?<br>- Jo&#44; dat si seng Alteren.<br>- Seng Tata a sei Monni si noch do.<br>- Also&#44; ass nach ee von senger Famil hei?<br>- Jo&#44; seng Geschwister sin och hei.<br>- Du ass sei Bruder de Jeff a seng Schwester Daniel.<br>- Hat wird zwei Kanner&#44; e Jung an e Mädchen.<br>- Also&#44; sei Bruder?<br>- Ne&#44; sei Bruder wird kein Kanner.<br>- Komm&#44; mir gien am Geburtsdagskand posten.<br>- Jo&#44; ich will och nach gratulieren.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to the last dialogue.<br>- So&#44; can you tell Scharel&#x27;s family?<br>- Are those their parents?<br>- Yes&#44; those are their parents.<br>- Their dad and mom are still there.<br>- So&#44; is he still one of their family here?<br>- Yes&#44; their siblings are here too.<br>- You are their brother Jeff and their sister Daniel.<br>- He has two children&#44; a boy and a girl.<br>- So&#44; his brother?<br>- No&#44; his brother will have no children.<br>- Come&#44; we go to post at the birthday card.<br>- Yes&#44; I also want to congratulate.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauscht dat erlésten Dialog.<br>- So&#44; kannst du dem Scharel seng Famil?<br>- Sinn dat seng Alteren?<br>- Jo&#44; dat si seng Alteren.<br>- Seng Tata a sei Monni si noch do.<br>- Also&#44; ass nach ee von senger Famil hei?<br>- Jo&#44; seng Geschwister sin och hei.<br>- Du ass sei Bruder de Jeff a seng Schwester Daniel.<br>- Hat wird zwei Kanner&#44; e Jung an e Mädchen.<br>- Also&#44; sei Bruder?<br>- Ne&#44; sei Bruder wird kein Kanner.<br>- Komm&#44; mir gien am Geburtsdagskand posten.<br>- Jo&#44; ich will och nach gratulieren.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_3a8f29f30d3f_A1_KAPITEL_6_Audio_135_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to the last dialogue.<br>- So&#44; can you tell Scharel&#x27;s family?<br>- Are those their parents?<br>- Yes&#44; those are their parents.<br>- Their dad and mom are still there.<br>- So&#44; is he still one of their family here?<br>- Yes&#44; their siblings are here too.<br>- You are their brother Jeff and their sister Daniel.<br>- He has two children&#44; a boy and a girl.<br>- So&#44; his brother?<br>- No&#44; his brother will have no children.<br>- Come&#44; we go to post at the birthday card.<br>- Yes&#44; I also want to congratulate.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_75425fd30211_A1_KAPITEL_6_Audio_136_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Läschter Presentatioun vun der Famill a Kontrolléiert.<br>- Dat ass meng Famill.<br>- Den Tun ass mäi Papp.<br>- An d&#x27;Marie ass meng Mamm.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Last presentation of the family and check it.<br>- This is my family.<br>- The man is my dad.<br>- And Marie is my mom.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Läschter Presentatioun vun der Famill a Kontrolléiert.<br>- Dat ass meng Famill.<br>- Den Tun ass mäi Papp.<br>- An d&#x27;Marie ass meng Mamm.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_75425fd30211_A1_KAPITEL_6_Audio_136_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Last presentation of the family and check it.<br>- This is my family.<br>- The man is my dad.<br>- And Marie is my mom.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e52e503d4c1e_A1_KAPITEL_6_Audio_136_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Marlène ass meng Fra.<br>- An Daniel ass meng Schwëster.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Marlène is my wife.<br>- And Daniel is my brother.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Marlène ass meng Fra.<br>- An Daniel ass meng Schwëster.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e52e503d4c1e_A1_KAPITEL_6_Audio_136_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Marlène is my wife.<br>- And Daniel is my brother.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_4568c63ec33a_A1_KAPITEL_6_Audio_136_003.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- D&#x27;Leni ass mäi Meedchen.<br>- De Mike ass mäi Neveu.<br>- An d&#x27;Sophie ass meng Niess.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Leni is my girl.<br>- Mike is my nephew.<br>- Sophie is my niece.</div></div>
