#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f493d16cc4c5_A2_KAPITEL_2_Audio20_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen&#44; liest allärst do Texter.<br>- 1976 wohnen ich mit meiner Frau heute Remisch an einem Reihenhaus.<br>- Wir haben zwei Mädels&#44; aber sie wohnen nicht mehr hier.<br>- Sie sind bestürt und haben eine Nischefamilie.<br>- Für zwei Personen sind 125 Quadratmeter ein bisschen viel.<br>- Wir haben ein Stuhl&#44; kommen keiner&#44; denken keiner auf Besuch&#44;<br>- und dann ist das Haus voll.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look at photos&#44; read all the text anyway.<br>- In 1976 I lived with my wife in Remisch in a terraced house today.<br>- We have two girls&#44; but they don’t live here anymore.<br>- They are upset and have a non-family.<br>- For two people&#44; 125 square meters is a bit much.<br>- We have a chair&#44; no one comes&#44; no one thinks of a visit&#44;<br>- and then the house is full.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen&#44; liest allärst do Texter.<br>- 1976 wohnen ich mit meiner Frau heute Remisch an einem Reihenhaus.<br>- Wir haben zwei Mädels&#44; aber sie wohnen nicht mehr hier.<br>- Sie sind bestürt und haben eine Nischefamilie.<br>- Für zwei Personen sind 125 Quadratmeter ein bisschen viel.<br>- Wir haben ein Stuhl&#44; kommen keiner&#44; denken keiner auf Besuch&#44;<br>- und dann ist das Haus voll.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f493d16cc4c5_A2_KAPITEL_2_Audio20_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look at photos&#44; read all the text anyway.<br>- In 1976 I lived with my wife in Remisch in a terraced house today.<br>- We have two girls&#44; but they don’t live here anymore.<br>- They are upset and have a non-family.<br>- For two people&#44; 125 square meters is a bit much.<br>- We have a chair&#44; no one comes&#44; no one thinks of a visit&#44;<br>- and then the house is full.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8f7fd096811a_A2_KAPITEL_2_Audio21_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Zwei.<br>- Ech schaffe an der Stadt an ech wunne mat menger Frëndin an engem Appartement zu Miersch.<br>- Miersch ass ongeféier zwanzeg Kilometer vun der Stadt Lütze-Busche wesch.<br>- Dat ass net wäit an ech kann den Zug huelen fir op der Best.<br>- Dat ass ganz praktisch.<br>- Meng Frëndin ass wäide Puppelchen a schafft de Moment net.<br>- Fir zwei Personen an ekand fannemiet Appartement vu fünfundsich Quadratmeter e büsse kleng.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Two.<br>- I work in town and I live with my girlfriend in an apartment in Miersch.<br>- Miersch is about twenty kilometers from the city of Lütze-Busche.<br>- That’s not far and I can take the train to the Best.<br>- It’s very convenient.<br>- My girlfriend is a busy little girl and isn’t working at the moment.<br>- For two people&#44; a small apartment of about fifty-three square meters is a bit small.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Zwei.<br>- Ech schaffe an der Stadt an ech wunne mat menger Frëndin an engem Appartement zu Miersch.<br>- Miersch ass ongeféier zwanzeg Kilometer vun der Stadt Lütze-Busche wesch.<br>- Dat ass net wäit an ech kann den Zug huelen fir op der Best.<br>- Dat ass ganz praktisch.<br>- Meng Frëndin ass wäide Puppelchen a schafft de Moment net.<br>- Fir zwei Personen an ekand fannemiet Appartement vu fünfundsich Quadratmeter e büsse kleng.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8f7fd096811a_A2_KAPITEL_2_Audio21_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Two.<br>- I work in town and I live with my girlfriend in an apartment in Miersch.<br>- Miersch is about twenty kilometers from the city of Lütze-Busche.<br>- That’s not far and I can take the train to the Best.<br>- It’s very convenient.<br>- My girlfriend is a busy little girl and isn’t working at the moment.<br>- For two people&#44; a small apartment of about fifty-three square meters is a bit small.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_44ada5f2d869_A2_KAPITEL_2_Audio22_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wéi vill Leit wunnen an der WG?<br>- Dräi.<br>- Wat studéiert Dir?<br>- Ech studéieren Ekonomie op der Uni Lëtzebuerg um Lampertsbierg.<br>- Wou wunnen Dir?<br>- Ech wunnen mat dräi anere Studenten an enger WG zu Mamer.<br>- Wéi grouss ass den Appartement?<br>- Mir deelen en Appartement vun 100 Metercarré.<br>- Wéi grouss sinn d&#x27;Zëmmer?<br>- All Persoun huet en Zëmmer tëscht 14 an 20 Metercarré.<br>- Fonctionéiert d&#x27;Kollokatioun gutt?<br>- Jo&#44; d&#x27;Kollokatioun fonctionéiert ganz gutt.<br>- Ass et lueg oder deier zu Feier?<br>- Zu Feier ass et lueg an et zu deier.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- How many people live in the shared flat?<br>- Three.<br>- What are you studying?<br>- I am studying Economics at the University of Luxembourg at the Lampertsbierg.<br>- Where do you live?<br>- I live with three other students in a shared flat in Mamer.<br>- How big is the apartment?<br>- We share an apartment of 100 square meters.<br>- How big are the rooms?<br>- Each person has a room between 14 and 20 square meters.<br>- Is the shared living arrangement working well?<br>- Yes&#44; the shared living arrangement works very well.<br>- Is it cheap or expensive in Luxembourg?<br>- In Luxembourg it is cheap and also expensive.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wéi vill Leit wunnen an der WG?<br>- Dräi.<br>- Wat studéiert Dir?<br>- Ech studéieren Ekonomie op der Uni Lëtzebuerg um Lampertsbierg.<br>- Wou wunnen Dir?<br>- Ech wunnen mat dräi anere Studenten an enger WG zu Mamer.<br>- Wéi grouss ass den Appartement?<br>- Mir deelen en Appartement vun 100 Metercarré.<br>- Wéi grouss sinn d&#x27;Zëmmer?<br>- All Persoun huet en Zëmmer tëscht 14 an 20 Metercarré.<br>- Fonctionéiert d&#x27;Kollokatioun gutt?<br>- Jo&#44; d&#x27;Kollokatioun fonctionéiert ganz gutt.<br>- Ass et lueg oder deier zu Feier?<br>- Zu Feier ass et lueg an et zu deier.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_44ada5f2d869_A2_KAPITEL_2_Audio22_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- How many people live in the shared flat?<br>- Three.<br>- What are you studying?<br>- I am studying Economics at the University of Luxembourg at the Lampertsbierg.<br>- Where do you live?<br>- I live with three other students in a shared flat in Mamer.<br>- How big is the apartment?<br>- We share an apartment of 100 square meters.<br>- How big are the rooms?<br>- Each person has a room between 14 and 20 square meters.<br>- Is the shared living arrangement working well?<br>- Yes&#44; the shared living arrangement works very well.<br>- Is it cheap or expensive in Luxembourg?<br>- In Luxembourg it is cheap and also expensive.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_791146f000b8_A2_KAPITEL_2_Audio23_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Feier.<br>- Es sig geschéit&#44; an es sich nëmmen eng nei Wunneng.<br>- Dat ass net einfach.<br>- De Moment wunnen ech bei mengen Elteren.<br>- Si hunn en Haus vun ongeféier 160 Quadratmeter zu Wolz.<br>- Si hu keng direkt Noperen a vill Terrain.<br>- Dat ass flott&#44; mee et ass komesch&#44; erëm bei den Elteren ze wunnen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Celebration.<br>- It is said&#44; and it is only a new apartment.<br>- That is not easy.<br>- At the moment I live with my parents.<br>- They have a house of about 160 square meters in Wolz.<br>- They have no direct neighbors and a lot of land.<br>- That is nice&#44; but it is strange to live with the parents again.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Feier.<br>- Es sig geschéit&#44; an es sich nëmmen eng nei Wunneng.<br>- Dat ass net einfach.<br>- De Moment wunnen ech bei mengen Elteren.<br>- Si hunn en Haus vun ongeféier 160 Quadratmeter zu Wolz.<br>- Si hu keng direkt Noperen a vill Terrain.<br>- Dat ass flott&#44; mee et ass komesch&#44; erëm bei den Elteren ze wunnen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_791146f000b8_A2_KAPITEL_2_Audio23_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Celebration.<br>- It is said&#44; and it is only a new apartment.<br>- That is not easy.<br>- At the moment I live with my parents.<br>- They have a house of about 160 square meters in Wolz.<br>- They have no direct neighbors and a lot of land.<br>- That is nice&#44; but it is strange to live with the parents again.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_10265049d296_A2_KAPITEL_2_Audio24_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wunnen an engem Studio zu Bouneweg.<br>- An der Résidence wunnen nach vill aner Leit&#44; mä ech kenne just meng direkt Noperen.<br>- Si si ganz fein&#44; an heiansdo invitéieren si mech owes z&#x27;etessen.<br>- Mäi Studio vun drësseg Meter Carré ass ze kleng fir vill Leit z&#x27;invitéieren&#44;<br>- mä grouss genuch fir eng Persoun.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I live in a studio apartment in Bouneweg.<br>- And at the residence live many other people&#44; but I only know my direct neighbors.<br>- They are very nice&#44; and occasionally they invite me over to eat.<br>- My thirty-square-meter studio is too small to invite many people&#44;<br>- but big enough for one person.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wunnen an engem Studio zu Bouneweg.<br>- An der Résidence wunnen nach vill aner Leit&#44; mä ech kenne just meng direkt Noperen.<br>- Si si ganz fein&#44; an heiansdo invitéieren si mech owes z&#x27;etessen.<br>- Mäi Studio vun drësseg Meter Carré ass ze kleng fir vill Leit z&#x27;invitéieren&#44;<br>- mä grouss genuch fir eng Persoun.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_10265049d296_A2_KAPITEL_2_Audio24_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I live in a studio apartment in Bouneweg.<br>- And at the residence live many other people&#44; but I only know my direct neighbors.<br>- They are very nice&#44; and occasionally they invite me over to eat.<br>- My thirty-square-meter studio is too small to invite many people&#44;<br>- but big enough for one person.</div></div>
